sender,recipients,timestamp,thread_id,email_id_in_thread,num_recipients
0,35,2020-02-09 16:41:04+00:00,1139,0,1
0,4,2020-02-09 16:41:33+00:00,1138,0,1
0,160,2020-02-09 17:17:07+00:00,1137,0,1
0,33,2020-02-09 17:26:01+00:00,1136,0,1
0,1175,2020-02-09 17:34:16+00:00,1135,0,1
0,270,2020-02-09 17:51:21+00:00,1134,0,1
0,4,2020-02-09 17:52:22+00:00,1133,0,1
0,4,2020-02-09 17:53:04+00:00,1132,0,1
0,21,2020-02-09 17:59:10+00:00,1131,0,1
0,1172,2020-02-09 18:20:45+00:00,1130,0,1
0,35,2020-02-09 18:23:24+00:00,1129,0,1
0,290,2020-02-09 21:36:38+00:00,1128,0,1
0,4,2020-02-10 00:49:33+00:00,1127,0,1
340,0,2020-02-10 01:26:00+00:00,1182,1,1
1150,0,2020-02-10 02:17:00+00:00,1111,3,1
1157,0;23,2020-02-10 02:21:00+00:00,1121,1,2
0,1150,2020-02-10 03:07:00+00:00,1111,2,1
34,0,2020-02-10 04:07:00+00:00,1118,1,1
1165,0;66,2020-02-10 06:05:00+00:00,1126,1,2
1164,0,2020-02-10 07:43:00+00:00,1125,1,1
123,0,2020-02-10 10:08:00+00:00,1124,1,1
433,0,2020-02-10 11:11:00+00:00,269,1,1
433,0,2020-02-10 11:11:00+00:00,288,1,1
0,4,2020-02-10 11:18:00+00:00,1126,0,1
1158,0,2020-02-10 11:30:00+00:00,1122,1,1
22,0,2020-02-10 12:27:00+00:00,1123,1,1
0,1164,2020-02-10 12:54:14+00:00,1125,0,1
0,123,2020-02-10 18:08:29+00:00,1124,0,1
0,340,2020-02-10 18:43:59+00:00,1182,0,1
0,22,2020-02-10 18:52:31+00:00,1123,0,1
0,4,2020-02-10 19:19:42+00:00,1122,0,1
0,4,2020-02-10 20:10:11+00:00,1121,0,1
0,79,2020-02-10 20:18:24+00:00,1120,0,1
0,34,2020-02-10 20:22:28+00:00,1119,0,1
0,34,2020-02-10 22:44:53+00:00,1118,0,1
1150,0,2020-02-11 01:19:00+00:00,1111,1,1
719,0,2020-02-11 01:20:00+00:00,1107,1,1
471,0,2020-02-11 01:55:00+00:00,1110,1,1
35,8,2020-02-11 02:50:00+00:00,1106,0,1
151,0,2020-02-11 02:58:00+00:00,82,2,1
1148,0,2020-02-11 03:41:00+00:00,1105,1,1
1155,0,2020-02-11 04:32:00+00:00,1114,1,1
1147,0,2020-02-11 04:55:00+00:00,1104,1,1
1152,0,2020-02-11 05:35:00+00:00,1113,1,1
375,4,2020-02-11 06:29:00+00:00,1102,2,1
4,0,2020-02-11 07:37:00+00:00,1116,1,1
35,8,2020-02-11 10:04:00+00:00,1106,1,1
1021,0,2020-02-11 11:00:00+00:00,1108,1,1
